specobjid,plate,mjd,fiberid,obj_class,redshift,snMedian
2981430857320916992,2648,54485,174,GALAXY,0.1376024,15.98247
2904875979254032384,2580,54092,197,QSO,0.98339,12.59637
2894715666558904320,2571,54055,98,GALAXY,0.2634516,9.320135
823098294115788800,731,52460,238,GALAXY,0.194603,11.45521
1514476159402797056,1345,52814,512,GALAXY,0.09416518,14.41369
1567408848321406976,1392,52822,568,STAR,-0.0005822224,10.31638
6502303510029424640,5775,56009,842,QSO,2.894553,6.079714
4226711905245616128,3754,55488,304,GALAXY,0.3375768,7.253914
1924192961759832064,1709,53533,109,GALAXY,0.1204662,10.29214
2792372296189241344,2480,53851,511,GALAXY,0.06642056,10.65466
7230729419027142656,6422,56328,728,QSO,1.600294,6.734943
5413508267233269760,4808,55705,660,GALAXY,0.330484,7.536632
5276110275736786944,4686,56013,521,STAR,-0.0005998951,19.22883
2276611182406166528,2022,53827,151,STAR,-7.204454e-05,20.58387
9428468469408749568,8374,57783,664,QSO,1.67521,6.434677
2012135490798512128,1787,54465,554,GALAXY,0.09216563,18.2733
614868379722868736,546,52205,462,GALAXY,0.1351156,16.71684
2454506954286983168,2180,54613,164,STAR,-3.89057e-05,27.24528
5823389165778393088,5172,56071,854,QSO,3.678925,8.913521
2634763899437606912,2340,53733,575,STAR,2.806292e-05,17.33639
3189773195267827712,2833,54650,359,STAR,-5.196116e-05,9.574132
3027613638585247744,2689,54149,250,STAR,0.001188167,31.22571
8170786852422572032,7257,56658,477,STAR,0.0002220586,5.846019
8169619171073873920,7256,56658,325,STAR,-0.000656048,23.63199
2324015518572374016,2064,53341,575,STAR,-0.0008300482,19.94087
4595957594636703744,4082,55367,124,GALAXY,0.1075237,38.52208
1440112888172800000,1279,52736,316,GALAXY,0.02643777,14.88468
4745674521323001856,4215,55471,23,GALAXY,0.4359825,5.006338
2505266168630110208,2225,53729,505,GALAXY,0.1635369,10.73246
1831888134967683072,1627,53473,178,GALAXY,0.02440255,8.397367
4720963272450529280,4193,55476,236,GALAXY,0.2649441,11.87421
2648207353853274112,2352,53770,330,GALAXY,0.1123461,15.31414
4740134356655560704,4210,55444,348,STAR,-0.0008424205,20.98932
449324253267912704,399,51817,328,GALAXY,0.173897,7.555555
715089138465925120,635,52145,519,GALAXY,0.1795323,14.83193
3341824932060358656,2968,54585,560,QSO,2.104372,11.95188
707096512525527040,628,52083,114,STAR,-0.0001556833,8.582415
5033901326511396864,4471,55617,10,GALAXY,0.3652211,6.614211
11558748070360668160,10266,58462,944,STAR,-0.0002849315,26.34288
5443914167005501440,4835,56016,684,GALAXY,0.233703,11.39976
2393786685780420608,2126,53794,449,QSO,0.4467981,17.01846
5045377479344412672,4481,55630,800,QSO,0.728283,10.17867
6018033234319005696,5345,56010,357,STAR,8.016763e-05,21.0714
1244205757998589952,1105,52937,314,STAR,-0.0006571315,11.97731
532676307503310848,473,51929,457,GALAXY,0.08856037,26.46947
3798957892514717696,3374,54948,624,STAR,6.299998e-05,27.70595
3091728636894537728,2746,54232,27,GALAXY,0.05196552,14.78092
1777882597712488448,1579,53473,315,GALAXY,0.0320101,32.33452
1569609525642684416,1394,53108,382,GALAXY,0.1340978,8.818286
559587955111389184,497,51989,57,GALAXY,0.09876979,8.687812
349131259089283072,310,51990,372,GALAXY,0.09707582,16.03702
2842912734595540992,2525,54569,56,STAR,-0.0003483472,25.8507
984116272398624768,874,52338,290,GALAXY,0.05115834,18.2845
1118158840693549056,993,52710,510,GALAXY,0.06144884,37.80833
2127976167007873024,1890,53237,92,STAR,-0.0003380731,40.56097
488737073340114944,434,51885,351,QSO,1.544523,14.10614
3240366669960341504,2878,54465,97,GALAXY,0.1278986,23.06345
2347566508521056256,2085,53379,237,GALAXY,0.02563523,41.84502
3126655728664733696,2777,54554,115,GALAXY,0.0585494,20.45626
951470673379747840,845,52381,310,GALAXY,0.07012437,8.578892
1453640454640789504,1291,52738,377,GALAXY,0.08444046,11.96472
2083042159648335872,1850,53786,463,GALAXY,0.07057144,12.50559
10320182024758122496,9166,58051,667,QSO,1.128628,22.55524
1049369268581328896,932,52620,111,GALAXY,0.2557132,8.948503
6499904375657617408,5773,56009,306,STAR,-4.078272e-05,28.93502
8569272411148802048,7611,56946,175,STAR,-0.0001176809,10.96712
302878376979359744,269,51910,41,STAR,0.0001074115,14.31491
1274581415412918272,1132,52903,228,STAR,6.844955e-05,10.28616
700470580092102656,622,52054,585,STAR,-0.0002137263,17.1574
6022504671872309248,5349,55929,240,GALAXY,0.3673869,5.380992
2731593766367422464,2426,53795,584,GALAXY,0.2088284,7.122085
2823821902559078400,2508,53875,236,GALAXY,0.203136,18.30165
11522460882925017088,10234,58153,4,STAR,-0.0002150511,34.60518
2613287413321066496,2321,53711,268,STAR,-5.571987e-05,8.003977
2157388378465658880,1916,53269,597,STAR,-0.0005484379,48.99998
762327464264361984,677,52606,339,GALAXY,0.05320399,5.674273
9320257270477772800,8278,56990,210,QSO,2.367428,5.248226
1925346074092922880,1710,53504,208,GALAXY,0.084837,11.77516
2374673319929604096,2109,53468,547,QSO,0.8270382,9.461992
2126981109035067392,1889,53240,568,STAR,-0.0002585136,14.06826
7453489101096114176,6620,56368,115,GALAXY,0.286066,7.482359
3020880229443856384,2683,54153,330,STAR,5.726909e-05,43.36674
7091082919071209472,6298,56208,601,GALAXY,0.3092967,5.309226
3224689558327158784,2864,54467,408,STAR,0.0002427298,21.78097
6010133518017124352,5338,56002,290,STAR,0.0003020542,15.41926
476271908942276608,423,51821,59,GALAXY,0.1649638,11.17607
861391256998144000,765,52254,283,GALAXY,0.1547043,13.22734
1637081056379168768,1454,53090,82,GALAXY,0.1871246,8.856994
922143675079747584,819,52409,115,GALAXY,0.1127563,18.47174
8589734048368449536,7629,56988,886,STAR,-0.0004892576,7.113401
5028436207992068096,4466,55857,608,STAR,0.0006304309,41.77524
2301477454113433600,2044,53327,502,STAR,7.333073e-05,32.16978
2795629874281211904,2483,53852,74,GALAXY,0.058147,17.37563
1500957938280327168,1333,52782,485,GALAXY,0.03789587,9.00087
5991121036871227392,5321,55945,755,GALAXY,0.356809,5.946283
933465069537224704,829,52296,342,GALAXY,0.0300136,7.194232
1216033241018951680,1080,52614,223,STAR,-1.84687e-05,12.28314
1893866226002716672,1682,53173,373,GALAXY,0.0584078,6.11914
6895036147598383104,6124,56211,91,GALAXY,0.1433391,21.01544
7326443008253253632,6507,56478,772,GALAXY,0.2839411,10.35232
968322887058483200,860,52319,178,GALAXY,0.1297088,15.27326
